date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:53	40401/40401	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:41%20GMT	http://themestarz.net/html/propper/assets/js/owl.carousel.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/owl.carousel.min.js	(from http://themestarz.net/html/propper/index-v1.html)
10:31:53	3801/3801	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:43%20GMT	http://themestarz.net/html/propper/assets/js/readmore.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/readmore.min.js	(from http://themestarz.net/html/propper/index-v1.html)
10:31:54	20947/20947	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:37%20GMT	http://themestarz.net/html/propper/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/jquery.magnific-popup.min.js	(from http://themestarz.net/html/propper/index-v1.html)
10:31:54	12363/12363	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:42%20GMT	http://themestarz.net/html/propper/assets/js/pace.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/pace.min.js	(from http://themestarz.net/html/propper/index-v1.html)
10:31:55	3258/3258	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:28%20GMT	http://themestarz.net/html/propper/assets/img/map-marker.png	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/map-marker.png	(from http://themestarz.net/html/propper/index-v1.html)
10:31:55	16673/16673	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Nov%202016%2009:26:50%20GMT	http://themestarz.net/html/propper/assets/js/custom.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/custom.js	(from http://themestarz.net/html/propper/index-v1.html)
10:32:04	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:09:22%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.eot?v=4.4.0	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.eot	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
10:32:06	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:09:22%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fontawesome-webfontd41d.eot	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
10:32:06	64464/64464	---M--	200	added ('OK')	font/woff2	date:Thu,%2001%20Sep%202016%2017:09:36%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.woff2?v=4.4.0	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.woff2	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
10:32:11	355981/355981	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Sep%202016%2017:09:29%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.svg?v=4.4.0	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.svg	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
